Country or Area,Year,Scope,Value,Value Footnotes
Afghanistan,1991,Kabul,143.8266157,"1,2"
Afghanistan,1990,Kabul,100,"1,2"
Afghanistan,1989,Kabul,67.86309699,"1,2"
Afghanistan,1988,Kabul,39.58026871,"1,2"
Afghanistan,1987,Kabul,31.03854075,"1,2"
Afghanistan,1986,Kabul,26.21359223,"1,2"
Afghanistan,1985,Kabul,26.77258017,"1,2"
Afghanistan,1984,Kabul,24.62488967,"1,2"
Afghanistan,1983,Kabul,20.45699716,"1,2"
Afghanistan,1982,Kabul,17.65225066,"1,2"
Afghanistan,1981,Kabul,14.93576542,"1,2"
Afghanistan,1980,Kabul,12.21928018,"1,2"
Afghanistan,1979,Kabul,10.77767971,"1,2,3"
Afghanistan,1978,Kabul,9.733686285,"1,2"
Afghanistan,1977,Kabul,9.271570169,"1,2"
Afghanistan,1976,Kabul,8.30639094,"1,2"
Afghanistan,1975,Kabul,8.177700376,"1,2"
Afghanistan,1974,Kabul,7.680486834,"1,2"
Afghanistan,1973,Kabul,6.744555461,"1,2"
Afghanistan,1972,Kabul,7.458203133,"1,2"
Afghanistan,1971,Kabul,8.52282507,"1,2"
Afghanistan,1970,Kabul,6.785502458,"1,2"
Afghanistan,1969,Kabul,5.738429234,"1,2"
Albania,2008,Not applicable,127.061373,4
Albania,2007,Not applicable,122.9524223,
Albania,2006,Not applicable,119.4547035,
Albania,2005,Not applicable,116.6847708,
Albania,2004,Not applicable,114.001738,
Albania,2003,Not applicable,110.8190311,
Albania,2002,Not applicable,108.3966978,
Albania,2001,Not applicable,103.1283945,
Albania,2000,Not applicable,100,4
Albania,1999,Not applicable,100,
Albania,1998,Not applicable,99.58772332,
Albania,1997,Not applicable,82.54695373,
Albania,1996,Not applicable,61.97892808,
Albania,1995,Not applicable,55.01603298,
Albania,1994,Not applicable,51.03069171,4
Albania,1993,Not applicable,41.64397969,
Albania,1992,Not applicable,22.50874429,
Albania,1991,Not applicable,10.40080305,5
Albania,1990,Not applicable,5.095934862,5
Albania,1989,Not applicable,4.973632425,5
Algeria,2008,Not applicable,128.9335195,
Algeria,2007,Not applicable,123.4758171,
Algeria,2006,Not applicable,118.8468836,
Algeria,2005,Not applicable,116.7400566,
Algeria,2004,Not applicable,114.5258297,
Algeria,2003,Not applicable,109.5120467,
Algeria,2002,Not applicable,105.8425518,
Algeria,2001,Not applicable,103.5137651,
Algeria,2000,Not applicable,100,
Algeria,1999,Not applicable,100.6336591,
Algeria,1998,Not applicable,98.575162,
Algeria,1997,Not applicable,92.79347009,
Algeria,1996,Not applicable,87.49507751,
Algeria,1995,Not applicable,72.70969821,
Algeria,1994,Not applicable,56.61762074,
Algeria,1993,Not applicable,42.99573981,
Algeria,1992,Not applicable,35.35245051,
Algeria,1991,Not applicable,26.99316221,
Algeria,1990,Not applicable,21.51576988,
Algeria,1990,Alger,100,1
Algeria,1989,Alger,85.74890936,1
Algeria,1989,Not applicable,17.89997494,
Algeria,1988,Alger,78.42947164,1
Algeria,1987,Alger,74.06689287,1
Algeria,1986,Alger,68.92874455,1
Algeria,1985,Alger,61.36694135,1
Algeria,1984,Alger,55.55016966,1
Algeria,1983,Alger,51.38148328,1
Algeria,1982,Alger,48.47309743,"1,4"
Algeria,1981,Alger,45.41459708,1
