data;temp_avg;temp_min;temp_max;precip;weekend;beer_consumption
1/1/2015;27,3;23,9;32,5;0;False;25.461
1/2/2015;27,02;24,5;33,5;0;False;28.972
1/3/2015;24,82;22,4;29,9;0;True;30.814
1/4/2015;23,98;21,5;28,6;1,2;True;29.799
1/5/2015;23,82;21;28,3;0;False;28.900
1/6/2015;23,78;20,1;30,5;12,2;False;28.218
1/7/2015;24;19,5;33,7;0;False;29.732
1/8/2015;24,9;;32,8;48,6;False;28.397
1/9/2015;28,2;21,9;34;4,4;False;24.886
1/10/2015;26,76;22,1;34,2;0;True;37.937
1/11/2015;27,62;22,2;34,8;3,4;True;36.254
1/12/2015;25,96;21,4;35,4;0;False;25.743
1/13/2015;25,52;21,2;34,8;0,8;False;26.990
1/14/2015;25,96;0;34;1,6;False;31.825
1/15/2015;25,86;21,5;32,8;3;False;25.724
1/16/2015;26,5;22,3;32,7;2;False;29.938
1/17/2015;28,86;22;35,8;0;True;37.690
1/18/2015;28,26;23,4;35,6;0;True;30.524
1/19/2015;28,22;22,7;36,5;3,7;False;29.265
1/20/2015;27,68;23,3;35,6;0,6;False;35.127
1/21/2015;25,32;22,7;30,9;0;False;29.130
1/22/2015;21,74;19,2;0;31;;25.795
1/23/2015;21,04;18,5;26,1;3,6;False;21.784
1/24/2015;23,12;19;29,4;13;True;28.348
1/25/2015;24,4;18,1;30;0;True;31.088
1/26/2015;22,4;18,9;28,7;20,8;False;21.520
1/27/2015;23,6;20,5;28,7;1,2;False;29.972
1/28/2015;25,68;20,1;29,9;4,9;;22.603
1/29/2015;25;21,5;29,2;0;False;22.696
1/30/2015;22,8;20,9;26,9;0;False;26.845
1/31/2015;21,64;18,5;24,3;0,2;True;27.030
2/1/2015;24,16;20,6;28;0;True;32.057
2/2/2015;22,48;20,7;26,5;4,5;False;24.097
2/3/2015;23,16;18;31,1;1,6;False;31.655
2/4/2015;22,12;19,9;23,7;3,2;False;24.738
2/5/2015;20,28;19,1;22,9;5,6;False;19.950
2/6/2015;21,06;17,9;25,4;18,4;False;22.821
2/7/2015;21,86;17,3;28,7;16,7;True;28.893
2/8/2015;22,76;17,1;29,5;10,4;True;29.926
2/9/2015;24;19,3;30,7;0;False;24.062
2/10/2015;23,92;20,1;29;32,2;False;21.137
2/11/2015;25,38;19,9;30,4;2,2;False;26.805
2/12/2015;27,66;23,1;32,7;0;False;26.389
2/13/2015;25,54;22,5;32,1;0;False;24.219
2/14/2015;24,32;21,1;31,6;0;True;30.231
2/15/2015;22,9;20;27,6;17,4;True;24.968
2/16/2015;21,6;18,8;27,3;22,7;False;25.343
2/17/2015;22,76;19,7;28;85,3;False;17.399
2/18/2015;22,22;19,9;26,4;13,4;False;21.392
2/19/2015;23,92;19,9;28,5;2,4;False;22.922
2/20/2015;24,72;21,7;28,2;0;False;24.567
2/21/2015;25,2;21,4;31,1;0;True;30.943
2/22/2015;24,44;20,4;30,8;0;True;30.825
2/23/2015;25,4;20,7;31,4;0;False;25.692
2/24/2015;24,3;20,5;31,9;0;False;26.959
2/25/2015;22,24;19,3;29,3;2;False;25.366
2/26/2015;24,1;19,2;30,3;34,4;False;22.784
2/27/2015;24,64;20,4;31,4;0,6;False;26.241
2/28/2015;22,4;19,7;27,7;0;True;26.467
3/1/2015;21,26;18,2;26,3;3;True;27.475
3/2/2015;22,16;17,2;29,2;0;False;28.749
3/3/2015;23,16;19,5;29,5;0;False;24.146
3/4/2015;23,68;18,9;30,5;0;False;22.988
3/5/2015;24,42;19,7;31,6;0;False;30.300
3/6/2015;22,6;19,4;28,5;0;False;22.654
3/7/2015;21,92;19,4;26,6;38,2;True;29.090
3/8/2015;22,2;19,7;24,4;69,2;True;24.619
3/9/2015;21,36;19,7;23,3;77;False;20.016
3/10/2015;23,12;21,2;26,9;9,7;False;23.042
3/11/2015;22,88;20,1;28,1;9,5;False;22.933
3/12/2015;22,26;19,2;26,9;1,2;False;22.409
3/13/2015;22,34;20;26,6;0;False;21.281
3/14/2015;22,88;19,9;27,9;12,2;True;28.844
3/15/2015;22,08;19,1;26,8;0,3;True;32.872
3/16/2015;21,92;18,6;29,4;22,4;False;20.903
3/17/2015;21,92;18,6;25,6;24,2;False;26.275
3/18/2015;21,24;19,7;24,1;0;False;20.167
3/19/2015;21,78;19,2;27,1;3,2;False;23.628
3/20/2015;21,64;18,9;28,2;7,4;False;24.213
3/21/2015;20,88;18,5;25,3;14,7;True;28.631
3/22/2015;19,7;18,1;22,8;1,7;True;25.855
3/23/2015;19,88;17,1;23,3;19,2;False;21.406
3/24/2015;20,98;17,4;26,3;0;False;21.617
3/25/2015;21,56;17,1;27,9;0;False;22.401
3/26/2015;22,98;18,3;29,8;0;False;27.989
3/27/2015;23,32;18;30,8;0;False;24.974
3/28/2015;23,28;19,1;29,5;0;True;29.760
3/29/2015;22,14;20,5;26,6;0;True;26.116
3/30/2015;22,5;19;25,9;18,6;False;25.850
3/31/2015;23,14;20,1;29;1;False;24.925
4/1/2015;22,52;19,2;27,5;0;False;21.979
4/2/2015;20,92;18,2;26,2;0;False;22.116
4/3/2015;21,02;16,3;27,2;0;False;24.867
4/4/2015;22,36;17,9;29,4;0;True;33.450
4/5/2015;22,82;20,1;26,4;0;True;32.713
4/6/2015;21,36;18,5;27,7;0;False;22.356
4/7/2015;17,38;16,1;20;7,1;False;21.004
4/8/2015;18,68;14,7;24,3;0,4;False;23.362
4/9/2015;19,4;15,9;;0;False;20.298
4/10/2015;20,46;17;25,5;0;False;24.862
4/11/2015;21,74;17,2;28,4;0;True;30.505
4/12/2015;19,92;16,8;25,7;0;True;25.070
4/13/2015;20,88;18,1;25,7;0;False;22.620
4/14/2015;21,7;18,4;28,8;0;False;22.001
4/15/2015;21,94;18,5;27,4;0;False;23.469
4/16/2015;21,26;18,6;26,7;25,4;False;21.735
4/17/2015;21,42;18,4;27;37,2;False;21.593
4/18/2015;23,36;18,2;29,3;0;True;33.822
