Idade,Campanha,Estado_civil,Educacao,Inadimplencia,conta_corrente,Casa_Propria,Emprestimo,Contato,dia,mes,duracao,campanha,dias_anterior,Anterior,Res_anterior,Sucesso
30,"desempregado","casado","primeiro","nao",1787,"nao","nao","celular",19,"oct",79,1,-1,0,"desconhecido","nao"
33,"servicos","casado","segundo","nao",4789,"sim","sim","celular",11,"mai",220,1,339,4,"fracassou","nao"
35,"gestao","solteiro","superior","nao",1350,"sim","nao","celular",16,"abr",185,1,330,1,"fracassou","nao"
30,"gestao","casado","superior","nao",1476,"sim","sim","outro",3,"jun",199,4,-1,0,"desconhecido","nao"
59,"manufatura","casado","segundo","nao",0,"sim","nao","outro",5,"mai",226,1,-1,0,"desconhecido","nao"
35,"gestao","solteiro","superior","nao",747,"nao","nao","celular",23,"fev",141,2,176,3,"fracassou","nao"
36,"autonomo","casado","superior","nao",307,"sim","nao","celular",14,"mai",341,1,330,2,"outro","nao"
39,"tecnico","casado","segundo","nao",147,"sim","nao","celular",6,"mai",151,2,-1,0,"desconhecido","nao"
41,"empreendedor","casado","superior","nao",221,"sim","nao","outro",14,"mai",57,2,-1,0,"desconhecido","nao"
43,"servicos","casado","primeiro","nao",-88,"sim","sim","celular",17,"abr",313,1,147,2,"fracassou","nao"
39,"servicos","casado","segundo","nao",9374,"sim","nao","outro",20,"mai",273,1,-1,0,"desconhecido","nao"
43,"gerencia","casado","segundo","nao",264,"sim","nao","celular",17,"abr",113,2,-1,0,"desconhecido","nao"
36,"tecnico","casado","superior","nao",1109,"nao","nao","celular",13,"ago",328,2,-1,0,"desconhecido","nao"
20,"student","solteiro","segundo","nao",502,"nao","nao","celular",30,"abr",261,1,-1,0,"desconhecido","sim"
31,"manufatura","casado","segundo","nao",360,"sim","sim","celular",29,"jan",89,1,241,1,"fracassou","nao"
40,"gestao","casado","superior","nao",194,"nao","sim","celular",29,"ago",189,2,-1,0,"desconhecido","nao"
56,"tecnico","casado","segundo","nao",4073,"nao","nao","celular",27,"ago",239,5,-1,0,"desconhecido","nao"
37,"gerencia","solteiro","superior","nao",2317,"sim","nao","celular",20,"abr",114,1,152,2,"fracassou","nao"
25,"manufatura","solteiro","primeiro","nao",-221,"sim","nao","outro",23,"mai",250,1,-1,0,"desconhecido","nao"
31,"servicos","casado","segundo","nao",132,"nao","nao","celular",7,"jul",148,1,152,1,"outro","nao"
38,"gestao","divorciado","desconhecido","nao",0,"sim","nao","celular",18,"nov",96,2,-1,0,"desconhecido","nao"
42,"gestao","divorciado","superior","nao",16,"nao","nao","celular",19,"nov",140,3,-1,0,"desconhecido","nao"
