CUST_ID,AVG_BALANCE,TENURE,NUM_TRANS,ACCESSORIES,APPLIANCES,CULTURE,GAS,BOOKS,APPAREL,FITNESS,EDUCATION,ENTERTAINMENT,FOOD,HEALTH,HOME_GARDEN,TELCOS,TRAVEL,PURCHASES_AMOUNT,Loyalty,,,
C10001,3044.993177,12,11.006688,0,2168.506639,0,0,0,0,0,0,0,0,0,0,0,0,2168.506639,1,,,
C10002,81.927748,12,0.985254,0,1779.354561,0,0,0,0,0,0,0,0,0,0,0,0,1779.354561,0,,,
C10003,1345.213562,12,2.83055,0,0,0,163.266045,0,1590.748309,0,0,0,0,0,0,0,0,1754.014354,0,,,
C10004,3193.925166,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10005,284.286718,7,11.757291,0,189.991137,0,628.363089,0,0,0,0,0,29.83154,58.269684,61.882977,0,0,968.338427,0,,,
C10006,2940.954633,12,11.147041,0,0,0,0,0,0,0,0,0,0,0,0,1365.41331,0,1365.41331,0,,,
C10007,6415.909843,12,21.769184,0,2001.409223,0,0,0,3598.115022,0,0,520.360218,0,0,0,0,0,6119.884464,1,,,
C10008,1653.4653,11,22.671116,0,7239.077699,0,0,0,0,0,0,0,0,0,0,0,0,7239.077699,1,,,
C10009,1937.849239,12,9.873951,0,0,0,0,0,0,0,0,0,0,0,428.158641,152.523664,0,580.682305,0,,,
C10010,3648.384357,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10011,8275.392104,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10012,7286.240872,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10013,2522.233629,12,11.931087,0,0,0,0,0,0,0,0,0,0,0,0,722.078444,0,722.078444,0,,,
C10014,1628.006423,12,0.90641,0,1554.120709,0,0,0,0,0,0,0,0,0,0,0,0,1554.120709,0,,,
C10015,2919.306962,12,0.923133,0,0,0,1190.705895,0,0,0,0,0,0,0,0,0,0,1190.705895,0,,,
C10016,3921.927396,12,27.321823,0,0,0,3008.883013,147.984942,0,0,0,0,808.10486,0,0,0,0,3964.972816,1,,,
C10017,3230.900842,10,0.995805,6487.449857,0,0,0,0,0,0,0,0,0,0,0,0,0,6487.449857,0,,,
C10018,6669.608781,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10019,10545.20316,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10020,2125.007317,12,12.009147,669.606319,0,0,1837.626072,0,5399.695401,0,0,373.421775,1530.463254,0,0,0,1389.018878,11199.8317,1,,,
C10021,1703.944934,12,35.703857,153.674226,0,0,0,0,673.646347,0,0,0,189.444547,0,38.908685,0,0,1055.673805,0,,,
C10022,6028.806751,12,40.230849,303.601161,99.334547,0,0,47.823172,1357.444458,0,0,0,123.482112,0,0,0,0,1931.685449,1,,,
C10023,593.582524,12,60.624857,339.270727,0,0,0,0,208.63281,0,0,0,500.37367,2882.193584,88.711752,546.781761,1306.042869,5872.007173,1,,,
C10024,4559.458907,12,47.625299,164.372753,307.570825,0,1166.074241,67.793106,43.302012,0,0,0,300.292317,202.037865,0,0,97.169099,2348.612218,1,,,
C10025,11522.94115,12,53.361765,0,0,0,0,0,504.482633,0,0,0,0,0,3128.747514,0,0,3633.230147,1,,,
C10026,3698.030931,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10027,3153.936136,12,8.78092,273.858768,790.005066,0,0,0,3351.776894,0,0,0,633.137155,0,344.144448,0,0,5392.922331,1,,,
C10028,2644.127041,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10029,8814.010561,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10030,14767.11016,12,7.90955,3592.994841,0,0,0,0,268.628696,0,0,0,215.087628,0,0,0,0,4076.711164,1,,,
C10031,163.883966,12,2.74622,0,0,0,255.590783,0,263.232729,0,0,712.397338,0,0,0,0,0,1231.22085,0,,,
C10032,446.8142,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C10033,9125.506745,12,128.19255,616.741122,0,0,0,0,495.328953,0,0,0,837.926823,655.749638,0,688.281081,163.96201,3457.989627,1,,,
