Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Automóvel - Tipo de Veículo,Caminhão - Tipo de Veículo,Caminhão trator - Tipo de Veículo,Caminhonete - Tipo de Veículo,Camioneta - Tipo de Veículo,Micro-ônibus - Tipo de Veículo,Motocicleta - Tipo de Veículo,Motoneta - Tipo de Veículo,Ônibus - Tipo de Veículo,Outros - Tipo de Veículo,Total de Veículos,Trator de rodas - Tipo de Veículo,Utilitário - Tipo de Veículo
110001,11,RO,Norte,1438,545,48,886,47,15,6072,1430,46,123,10672,1,21
110002,11,RO,Norte,12534,2125,219,4592,512,31,21215,9905,179,1851,53255,0,92
110003,11,RO,Norte,547,72,4,165,24,2,1269,200,15,26,2327,0,3
110004,11,RO,Norte,11577,1519,272,3861,410,55,20442,7741,286,932,47198,2,101
110005,11,RO,Norte,1898,315,47,707,75,7,4087,1078,47,147,8417,0,9
110006,11,RO,Norte,2188,373,35,738,94,9,4438,1017,46,185,9133,0,10
110007,11,RO,Norte,416,71,2,142,9,6,1499,184,12,8,2350,0,1
110008,11,RO,Norte,362,86,1,186,23,4,1466,410,15,21,2575,0,1
110009,11,RO,Norte,1905,523,51,1054,92,5,6509,2071,86,179,12486,0,11
110010,11,RO,Norte,2718,854,180,1099,186,12,5348,2397,44,404,13255,0,13
110011,11,RO,Norte,5421,1004,113,1814,168,21,14131,4981,181,430,28310,1,45
110012,11,RO,Norte,17579,2601,561,5951,783,78,29222,8086,565,1818,67408,7,157
110013,11,RO,Norte,1302,329,27,521,71,7,4958,1177,48,65,8511,0,6
110014,11,RO,Norte,1109,233,7,365,30,8,4188,878,45,42,6910,0,5
110015,11,RO,Norte,4279,742,62,1561,160,27,10809,2718,103,264,20756,0,31
110018,11,RO,Norte,4132,972,251,1617,175,28,6902,2747,71,640,17574,2,37
110020,11,RO,Norte,86845,6191,1066,20347,4372,417,66514,13740,1601,5182,207318,9,1034
110025,11,RO,Norte,1666,304,117,652,76,6,3403,841,40,359,7473,0,9
110026,11,RO,Norte,162,46,2,63,7,1,262,43,18,7,611,0,0
110028,11,RO,Norte,6232,1094,139,2107,201,35,13466,5092,111,418,28949,0,54
110029,11,RO,Norte,580,139,11,242,15,4,1987,407,40,54,3484,1,4
