Rank,Country,(%),Date of Information
1,American Samoa,74.60,2007
2,Nauru,71.10,2008
3,Cook Islands,63.70,2008
4,Tokelau,63.40,2007
5,Tonga,57.60,2008
6,Samoa,54.10,2008
7,Palau,48.90,2008
8,Kiribati,46.00,2008
9,Marshall Islands,45.40,2008
10,Kuwait,42.00,2008
11,Saint Kitts and Nevis,40.70,2008
12,"Micronesia, Federated States of",40.60,2008
13,"Bahamas, The",34.70,2008
14,Barbados,34.70,2008
15,Belize,33.70,2008
16,Qatar,33.20,2008
17,Egypt,33.10,2008
18,United States,33.00,2008
19,Saudi Arabia,33.00,2008
20,Bahrain,32.90,2008
21,Czech Republic,32.70,2008
22,United Arab Emirates,32.70,2008
23,Mexico,32.10,2008
24,South Africa,31.30,2008
25,Fiji,30.60,2008
26,Venezuela,30.30,2008
27,Solomon Islands,30.00,2008
28,Jordan,30.00,2008
29,Argentina,29.70,2008
30,Chile,29.40,2008
31,Trinidad and Tobago,29.30,2008
32,Malta,28.80,2008
33,Slovenia,28.60,2008
34,New Zealand,28.30,2008
35,Libya,27.80,2008
36,Turkey,27.80,2008
37,Hungary,27.60,2008
38,Lithuania,27.60,2008
39,Vanuatu,27.50,2008
40,Lebanon,27.40,2008
41,Syria,27.10,2008
42,Iraq,27.00,2008
43,United Kingdom,26.90,2008
44,Australia,26.80,2008
45,Spain,26.60,2008
46,Russia,26.50,2008
47,Bosnia and Herzegovina,26.50,2008
48,Canada,26.20,2008
49,Israel,26.20,2008
50,Luxembourg,26.00,2008
51,El Salvador,25.80,2008
52,Antigua and Barbuda,25.60,2008
53,Cyprus,25.50,2008
54,Slovakia,25.40,2008
55,Panama,25.40,2008
56,Poland,25.30,2008
57,Ireland,25.20,2008
58,Andorra,25.20,2008
59,Germany,25.10,2008
60,Suriname,25.10,2008
61,Dominica,24.90,2008
62,Latvia,24.90,2008
63,Serbia,24.80,2008
64,Uruguay,24.80,2008
65,Belarus,24.30,2008
66,Croatia,24.20,2008
67,Jamaica,24.10,2008
68,Armenia,24.00,2008
69,Portugal,24.00,2008
70,Seychelles,23.90,2008
71,Azerbaijan,23.80,2008
72,Bulgaria,23.70,2008
73,Costa Rica,23.70,2008
74,Kazakhstan,23.70,2008
75,Saint Vincent and the Grenadines,23.40,2008
76,Iceland,23.20,2008
77,Finland,23.00,2008
78,Grenada,22.50,2008
79,Montenegro,22.50,2008
80,Tunisia,22.30,2008
81,Nicaragua,22.20,2008
82,Georgia,22.10,2008
83,Belgium,22.10,2008
84,Norway,21.50,2008
85,Cuba,21.50,2008
86,Ecuador,21.40,2008
87,Saint Lucia,21.40,2008
88,Albania,21.30,2008
89,Ukraine,21.30,2008
90,Dominican Republic,21.20,2008
91,Moldova,21.20,2008
92,Macedonia,21.10,2008
93,Austria,20.90,2008
94,Oman,20.90,2008
95,Estonia,20.60,2008
96,Greece,20.10,2008
97,Italy,19.80,2008
98,Swaziland,19.70,2008
99,Iran,19.40,2008
100,Guatemala,19.20,2008
101,Romania,19.10,2008
102,Brazil,18.80,2008
103,Netherlands,18.80,2008
104,Sweden,18.60,2008
105,Mauritius,18.50,2008
106,Honduras,18.40,2008
107,Denmark,18.20,2008
108,France,18.20,2008
109,Bolivia,17.90,2008
110,Paraguay,17.90,2008
111,Switzerland,17.50,2008
112,Colombia,17.30,2008
113,Guyana,17.20,2008
114,Morocco,16.40,2008
115,Papua New Guinea,16.20,2008
116,Algeria,16.00,2008
117,Peru,15.70,2008
118,Kyrgyzstan,15.50,2008
119,Uzbekistan,15.10,2008
120,Lesotho,14.60,2008
121,Yemen,14.50,2008
122,Mongolia,14.40,2008
123,Malaysia,14.00,2008
124,Gabon,13.90,2008
125,Turkmenistan,13.20,2008
126,Maldives,12.90,2008
127,Mauritania,12.70,2008
128,Botswana,11.20,2008
129,Equatorial Guinea,10.60,2008
130,Cameroon,10.30,2008
131,Cabo Verde,10.00,2008
132,Sao Tome and Principe,9.50,2008
133,Namibia,9.50,2008
134,Djibouti,9.40,2008
135,Thailand,8.80,2008
136,Tajikistan,8.60,2008
137,Haiti,7.90,2008
138,"Gambia, The",7.90,2008
139,"Korea, South",7.70,2008
140,Ghana,7.50,2008
141,Brunei,7.50,2008
142,Singapore,7.10,2008
